Station name:,,,,,,
"Ikere Gorge Dam, Oyo",,,,Latitude (decimals):,8.1,
,,,,,,
Elevation (m):,,257,Wind speed height (m):,,2,
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
5/1/1998,22.4,32.6,1.54,10.015,17.90208,4.5
6/1/1998,20.8,30.8,1.24,9.856944444,16.58016,3.94
7/1/1998,21.2,28.2,1.56,8.758611111,11.95776,3.14
8/1/1998,20,27.6,1.76,7.711388889,11.41344,3.15
9/1/1998,20.4,28.9,1.43,8.536944444,12.55392,3.3
10/1/1998,20.4,30.3,1.23,9.075,15.06816,3.67
11/1/1998,20.5,33.1,1.31,9.825555556,17.8848,4.33
12/1/1998,19.3,33.8,1.32,10.03333333,17.0208,4.24
1/1/1999,20.2,33.6,1.38,9.656388889,16.2864,4.15
2/1/1999,20.8,34.5,1.53,9.746666667,16.83936,4.51
3/1/1999,22,34.7,1.73,9.657222222,17.35776,4.8
4/1/1999,21.8,33.1,1.87,10.08638889,18.7488,4.91
5/1/1999,21.6,32.6,1.51,9.869722222,19.03392,4.67
6/1/1999,21,31,1.44,9.579722222,16.08768,4
7/1/1999,20.2,28.3,1.77,8.561388889,11.42208,3.22
8/1/1999,19.8,27.3,1.86,8.364166667,11.42208,3.17
9/1/1999,20,28.2,1.5,8.071944444,11.38752,3.12
10/1/1999,19.9,29.5,1.17,8.585277778,13.0032,3.29
11/1/1999,20.1,32.6,1.24,9.5575,16.91712,4.1
12/1/1999,18.8,34,1.43,10.27861111,17.59968,4.44
1/1/2000,20.9,34.5,1.44,9.7525,16.33824,4.29
2/1/2000,20.3,34.3,1.9,10.33722222,19.62144,5.15
3/1/2000,22,35.4,1.87,10.15055556,20.80512,5.5
4/1/2000,22.1,34.2,1.98,9.948333333,19.12896,5.19
5/1/2000,22,33,1.5,9.975833333,19.0944,4.71
6/1/2000,20.6,30.4,1.58,8.828611111,14.48064,3.79
7/1/2000,20.4,28.3,1.62,8.700277778,12.4848,3.29
8/1/2000,20.1,27,1.62,8.177777778,11.48256,3.03
9/1/2000,20,29.4,1.51,8.569444444,11.80224,3.32
10/1/2000,19.7,30.8,1.21,9.230277778,15.14592,3.74
11/1/2000,20,33.1,1.34,9.830277778,18.17856,4.4
12/1/2000,18.6,34.4,1.41,10.01916667,17.05536,4.41
1/1/2001,19,34,1.46,10.13333333,17.95392,4.5
2/1/2001,21,35.1,1.68,10.20305556,18.9648,4.99
3/1/2001,21.8,36.5,1.69,9.692222222,18.68832,5.22
4/1/2001,22.6,33.4,1.95,9.591944444,17.59968,4.8
5/1/2001,22.6,32.5,1.6,10.085,18.94752,4.67
6/1/2001,20.8,29.9,1.57,9.613888889,15.552,3.87
7/1/2001,21,28.4,1.6,8.633888889,12.01824,3.2
8/1/2001,20.1,27.3,1.78,6.853333333,9.60768,2.88
9/1/2001,20.5,28.5,1.52,8.706388889,12.88224,3.34
10/1/2001,20.8,30.8,1.23,9.566388889,17.28864,4.03
11/1/2001,20.7,33.2,1.39,9.697777778,17.74656,4.38
12/1/2001,20,34.7,1.32,10.01527778,16.62336,4.28
1/1/2002,20.1,31.9,1.67,10.32083333,18.2304,4.39
2/1/2002,20.9,35.4,1.64,9.936944444,17.928,4.86
3/1/2002,22.6,35.6,1.73,9.757777778,18.50688,5.07
4/1/2002,22.4,33.4,1.89,9.835,17.91936,4.82
5/1/2002,22,33,1.6,10.11083333,20.51136,4.98
6/1/2002,21,30.7,1.68,8.702222222,14.9472,3.93
7/1/2002,21,29,1.43,8.517777778,12.03552,3.19
8/1/2002,20.7,28,1.63,8.524722222,11.80224,3.16
9/1/2002,20.7,28.9,1.53,9.072777778,14.10912,3.55
10/1/2002,20.6,29.7,1.24,9.120555556,14.67072,3.56
11/1/2002,20.8,32.9,1.25,9.669444444,17.03808,4.15
12/1/2002,19.4,34,1.44,9.830833333,16.632,4.32
1/1/2003,20,34.1,1.35,9.7975,16.40736,4.2
2/1/2003,22,36.1,1.5,9.665833333,16.6752,4.63
3/1/2003,23.2,35.6,1.65,9.843055556,18.77472,5.03
4/1/2003,22.2,32.9,2.03,9.4925,16.99488,4.7
5/1/2003,21.9,33.2,1.79,9.831944444,18.62784,4.85
6/1/2003,21,29.9,1.53,8.986666667,13.84992,3.6
7/1/2003,20.6,28.4,1.64,8.811111111,13.07232,3.38
8/1/2003,20.5,27.7,1.72,7.758611111,10.69632,3.02
9/1/2003,20.8,28.9,1.48,8.483888889,11.73312,3.19
10/1/2003,21.5,31,1.32,9.225833333,14.58432,3.7
11/1/2003,20.4,33,1.3,9.631388889,15.87168,4.04
12/1/2003,19.5,33.6,1.41,10.16833333,16.9344,4.28
1/1/2004,20.4,33.5,1.38,9.986944444,16.21728,4.12
2/1/2004,21.7,34.9,1.55,9.827222222,17.56512,4.65
3/1/2004,23.2,34.4,1.71,9.783333333,18.9648,4.94
4/1/2004,22.5,33.1,1.96,9.356666667,14.98176,4.38
5/1/2004,21.9,31.1,1.74,9.081388889,15.12864,4.02
6/1/2004,20.7,29.8,1.52,9.557777778,15.0768,3.77
7/1/2004,20.7,27.9,1.32,8.407222222,11.52576,2.97
8/1/2004,20.4,27.7,1.66,7.812222222,11.0592,3.05
9/1/2004,20.8,29.4,1.34,8.956388889,12.58848,3.3
10/1/2004,20.4,31.1,1.26,9.2025,14.97312,3.76
11/1/2004,20.9,32.5,1.34,9.5075,15.28416,3.92
12/1/2004,19.9,34.1,1.24,9.725,15.58656,4.01
1/1/2005,19.7,32.7,1.62,10.30388889,18.22176,4.47
2/1/2005,23.3,35.6,1.6,9.6925,16.09632,4.51
3/1/2005,23.6,35.4,1.59,9.601388889,17.72928,4.79
4/1/2005,23.2,34.3,2.03,9.475,16.2,4.75
5/1/2005,22.3,32.1,1.75,9.673333333,17.74656,4.53
6/1/2005,21.3,29.9,1.64,8.838333333,13.45248,3.59
7/1/2005,21,28.2,1.55,8.359166667,11.43072,3.07
8/1/2005,20.3,27.4,1.73,7.784722222,11.85408,3.16
9/1/2005,21.2,29.2,1.54,8.536944444,11.7504,3.24
10/1/2005,20.7,30.6,1.33,9.335833333,16.04448,3.89
11/1/2005,21,33.2,1.45,9.940833333,17.928,4.44
12/1/2005,20,34.3,1.35,9.847222222,15.96672,4.18
1/1/2006,20.6,34,1.33,9.139166667,13.59072,3.79
2/1/2006,22.1,35.9,1.54,9.183888889,14.09184,4.26
3/1/2006,22.6,35.3,1.69,9.475833333,16.96896,4.77
4/1/2006,23,34.8,1.99,9.825833333,18.81792,5.2
5/1/2006,21.6,31.7,1.5,9.316388889,16.52832,4.19
6/1/2006,21.4,31.1,1.5,9.435277778,16.8048,4.13
7/1/2006,21.5,29.3,1.46,7.991944444,11.76768,3.18
8/1/2006,20.7,27.7,1.55,7.524722222,10.152,2.87
9/1/2006,21,28.5,1.53,8.207222222,11.26656,3.1
10/1/2006,21.3,30.4,1.24,9.481111111,15.984,3.8
11/1/2006,20.6,32.1,1.46,10.38611111,19.11168,4.48
12/1/2006,19.6,33.4,1.5,10.50611111,18.38592,4.51
1/1/2007,19.2,32.6,1.77,10.45777778,18.9648,4.67
2/1/2007,21.4,36.2,1.64,9.984722222,17.64288,4.92
3/1/2007,23.2,35.8,1.82,10.05694444,20.18304,5.39
4/1/2007,23,33.4,2.09,10.30444444,19.57824,5.15
5/1/2007,22.1,32,1.62,10.30555556,20.6496,4.88
6/1/2007,20.9,29.9,1.81,9.6075,16.62336,4.12
7/1/2007,21.2,28.6,1.63,8.625833333,12.0528,3.23
8/1/2007,20.7,27.7,1.72,7.552222222,9.52128,2.85
9/1/2007,21,29.1,1.54,8.466111111,11.7072,3.23
10/1/2007,20.6,30.9,1.33,9.15,15.24096,3.81
11/1/2007,20.4,32.6,1.32,9.454722222,16.47648,4.1
12/1/2007,20.1,33.4,1.36,10.00916667,16.79616,4.19
1/1/2008,19.1,31.7,1.71,10.37277778,17.8848,4.38
2/1/2008,21.4,35,1.72,10.32527778,19.55232,5.07
3/1/2008,22.1,35.9,1.8,9.852777778,18.8352,5.24
4/1/2008,22.5,34.1,1.87,10.12444444,19.83744,5.19
5/1/2008,21.8,32.1,1.49,10.01027778,18.49824,4.51
6/1/2008,21.2,30.3,1.56,9.231388889,16.73568,4.06
7/1/2008,21.1,28.3,1.49,9.009166667,13.5216,3.34
8/1/2008,20.6,27.4,1.68,8.296666667,11.88,3.12
9/1/2008,21,29,1.57,8.960555556,13.02912,3.42
10/1/2008,21.3,30.7,1.32,9.418888889,16.5024,3.95
11/1/2008,20.5,33.3,1.35,10.00611111,18.25632,4.43
12/1/2008,20.2,34.1,1.3,9.914166667,16.20864,4.14
1/1/2009,19.9,33.7,1.48,10.03666667,16.91712,4.33
2/1/2009,22.2,35.8,1.55,9.51,16.29504,4.57
3/1/2009,23,35.4,1.72,9.8525,18.43776,5.01
4/1/2009,22.1,33.3,1.93,9.788333333,17.72928,4.82
5/1/2009,22.1,32.6,1.58,9.918611111,19.224,4.73
6/1/2009,21.2,30.7,1.57,9.557222222,16.83072,4.13
7/1/2009,21.4,28.5,1.45,8.629444444,13.53888,3.34
8/1/2009,20.8,27.6,1.47,8.315833333,12.13056,3.09
9/1/2009,21.2,29.2,1.39,8.8975,13.24512,3.38
10/1/2009,21.5,29.9,1.33,8.751111111,14.05728,3.51
11/1/2009,20.7,32.2,1.46,10.09527778,17.7984,4.32
12/1/2009,19.9,35,1.38,10.2725,17.11584,4.43
1/1/2010,20,35.2,1.45,9.996111111,16.82208,4.47
2/1/2010,22.8,36.4,1.7,9.826944444,17.4528,4.92
3/1/2010,23.8,35.6,1.73,9.839722222,18.99936,5.1
4/1/2010,23,34.7,2.06,10.06277778,19.32768,5.31
5/1/2010,22.6,32.5,1.71,9.754722222,18.2304,4.62
6/1/2010,21.7,30.7,1.56,9.494722222,15.57792,3.93
7/1/2010,21.2,28.6,1.62,8.878888889,13.66848,3.44
8/1/2010,20.8,27.9,1.51,8.343055556,12.32064,3.16
9/1/2010,20.9,28.6,1.43,8.213055556,11.86272,3.15
10/1/2010,21.2,29.8,1.24,9.170277778,14.65344,3.55
11/1/2010,20.8,32.8,1.26,9.751388889,16.88256,4.12
12/1/2010,19.2,34.5,1.39,10.29916667,17.1504,4.4
1/1/2011,19.2,33.4,1.55,10.22277778,18.29952,4.54
2/1/2011,21.6,35.1,1.53,9.616388889,15.36192,4.35
3/1/2011,22.8,35.4,1.71,9.8625,18.9648,5.09
4/1/2011,22.5,34.3,2,10.45611111,21.18528,5.5
5/1/2011,22.2,32.8,1.67,10.01638889,19.31904,4.81
6/1/2011,21.6,30.8,1.62,9.685833333,17.47872,4.24
7/1/2011,21,29,1.46,9.685555556,15.11136,3.63
8/1/2011,20.4,28.2,1.63,8.266666667,12.04416,3.23
9/1/2011,20.9,29.1,1.46,8.781111111,12.58848,3.32
10/1/2011,21.3,30.1,1.33,9.357777778,15.768,3.78
11/1/2011,20.2,32.9,1.29,9.903333333,18.38592,4.37
12/1/2011,18.8,33.3,1.54,10.48916667,18.11808,4.51
1/1/2012,19.4,33.7,1.56,10.1525,17.39232,4.46
2/1/2012,21.4,34.9,1.56,9.396388889,15.90624,4.44
3/1/2012,22.3,35.5,1.63,9.856666667,19.40544,5.13
4/1/2012,22.7,33.3,1.94,9.767222222,17.6256,4.78
5/1/2012,21.8,31.4,1.67,10.05805556,18.34272,4.49
6/1/2012,21,30.2,1.57,9.585277778,16.14816,3.98
7/1/2012,20.7,28.1,1.54,8.942222222,12.55392,3.22
8/1/2012,20.4,27.4,1.55,8.382222222,12.19104,3.12
