Station name:,,,,,,
Mokoliki,,,,,Latitude (decimals):,6.8
,,,,,,
Elevation (m):,,14,,Wind speed height (m):,,2
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
6/1/2004,22.2,29.6,1.56,9.794166667,14.48064,3.6
7/1/2004,22.4,28.1,1.59,8.926944444,11.76768,3.03
8/1/2004,22.1,27.9,1.77,8.6125,12.12192,3.15
9/1/2004,22.8,29.4,1.17,9.314722222,12.41568,3.12
10/1/2004,22.7,30.3,1.18,9.355,15.0768,3.59
11/1/2004,23.6,31.7,1.23,9.762777778,15.44832,3.74
12/1/2004,23.8,32.5,1.4,10.06027778,15.09408,3.8
1/1/2005,22,32.1,1.52,10.18888889,18.69696,4.37
2/1/2005,25.7,33.4,1.92,9.992222222,17.04672,4.45
3/1/2005,25.4,33.4,1.5,10.185,19.06848,4.65
4/1/2005,24.9,32.9,1.76,9.990277778,17.41824,4.49
5/1/2005,24,31.1,1.77,10.04666667,17.80704,4.32
6/1/2005,22.8,29.4,1.83,8.603611111,12.67488,3.4
7/1/2005,22.5,28.3,1.93,8.501666667,11.42208,3.12
8/1/2005,21.9,27.9,1.85,8.033333333,12.7008,3.27
9/1/2005,23.1,29.2,1.66,8.963611111,12.12192,3.23
10/1/2005,23,30.4,1.17,9.957777778,16.87392,3.86
11/1/2005,23.9,32.4,1.31,10.05916667,17.60832,4.18
12/1/2005,23.7,33,1.25,10.055,15.25824,3.8
1/1/2006,23.5,32.5,1.59,9.501666667,13.1328,3.63
2/1/2006,24.9,33.5,1.97,9.718888889,14.19552,4.1
3/1/2006,24.8,33.2,1.59,10.02888889,17.712,4.47
4/1/2006,24.9,33.5,1.62,10.42805556,19.32768,4.81
5/1/2006,23.3,30.8,1.38,9.630277778,16.72704,3.99
6/1/2006,22.7,30.9,1.21,10.09277778,16.30368,3.84
7/1/2006,23.2,29.4,1.9,8.551666667,11.22336,3.19
8/1/2006,22.3,28.2,1.89,7.538055556,10.8432,3.05
9/1/2006,22.9,28.8,1.62,8.461111111,11.26656,3.06
10/1/2006,23.3,30.3,1.12,9.797777778,16.72704,3.81
11/1/2006,23.4,31.7,1.02,10.29805556,19.18944,4.2
12/1/2006,23.2,32.3,1.16,10.35694444,18.50688,4.16
1/1/2007,21.5,31.9,1.51,10.4125,19.92384,4.51
2/1/2007,24.1,33.9,1.88,9.946388889,17.46144,4.64
3/1/2007,25.4,33.8,1.74,10.11666667,20.3904,5.03
4/1/2007,24.4,32.5,1.84,10.25416667,19.9584,4.88
5/1/2007,23.8,31.5,1.51,10.31,19.7856,4.58
6/1/2007,22.4,29.6,1.85,9.550833333,14.66208,3.74
7/1/2007,23,28.7,1.93,8.644722222,11.91456,3.21
8/1/2007,22.4,28.2,1.89,8.058055556,10.29024,2.96
9/1/2007,23,29.2,1.48,8.776388889,11.90592,3.14
10/1/2007,23.1,30.2,1.13,9.405555556,14.92992,3.53
11/1/2007,23.1,31.8,1.18,9.849722222,16.25184,3.85
12/1/2007,23.7,32.1,1.25,10.18666667,16.81344,3.93
