Station name:,,,,,,
Oyan Dam Site,,,,,Latitude (decimals):,7.4
,,,,,,
Elevation (m):,,174,,Wind speed height (m):,,2
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
2/1/2004,23.7,34.2,1.47,9.976944444,18.1872,4.56
3/1/2004,24.9,34.1,1.45,10.02416667,20.29536,4.92
4/1/2004,23.8,32.8,1.71,9.606944444,16.58016,4.37
5/1/2004,23.4,31,1.54,9.314166667,16.1136,3.99
6/1/2004,21.9,30.2,1.4,9.549444444,14.6448,3.64
7/1/2004,22.1,28.6,1.44,8.723611111,11.7504,3.05
8/1/2004,21.8,28.3,1.6,8.408611111,11.85408,3.13
9/1/2004,22.3,29.9,1.13,9.054166667,12.38976,3.16
10/1/2004,22.1,31,1.08,9.050833333,15.01632,3.62
11/1/2004,23.1,32.5,1.14,9.425,15.52608,3.79
12/1/2004,23.2,33.7,1.12,9.822777778,15.24096,3.78
1/1/2005,21.9,33.3,1.41,10.19638889,18.97344,4.48
2/1/2005,25.2,34.7,1.7,9.855833333,17.3664,4.59
3/1/2005,24.9,34.6,1.39,9.851111111,19.34496,4.79
4/1/2005,24.4,33.8,1.79,9.530555556,17.41824,4.66
5/1/2005,23.6,31.9,1.56,9.728611111,18.11808,4.41
6/1/2005,22.5,30,1.62,8.550277778,12.83904,3.44
7/1/2005,22.2,28.8,1.71,8.185277778,11.47392,3.14
8/1/2005,21.6,28.3,1.64,8.033055556,12.37248,3.22
9/1/2005,22.6,29.7,1.47,8.554722222,11.93184,3.22
10/1/2005,22.4,31,1.13,9.363055556,16.64928,3.88
11/1/2005,23.4,33.2,1.18,9.805833333,17.95392,4.25
12/1/2005,23.1,34.2,1.06,9.881388889,15.45696,3.82
1/1/2006,23.2,33.9,1.29,9.067777778,13.51296,3.66
2/1/2006,24.3,34.8,1.72,9.371666667,14.688,4.25
3/1/2006,24.3,34.5,1.45,9.744166667,18.09216,4.63
4/1/2006,24.4,34.5,1.67,9.976666667,19.5264,5.02
5/1/2006,22.9,31.5,1.28,9.494444444,16.9776,4.07
6/1/2006,22.5,31.5,1.23,9.714444444,16.39008,3.94
7/1/2006,22.9,30,1.63,8.065,11.28384,3.19
8/1/2006,21.9,28.5,1.63,7.486944444,10.43712,2.96
9/1/2006,22.4,29.2,1.43,8.202777778,11.18016,3.04
10/1/2006,22.7,30.9,1.06,9.478333333,16.51968,3.81
11/1/2006,22.9,32.6,0.99,10.2,19.47456,4.3
12/1/2006,22.6,33.4,1.06,10.44583333,18.58464,4.21
1/1/2007,21.3,33.1,1.47,10.43583333,20.05344,4.64
2/1/2007,23.5,35.2,1.69,9.906944444,18.1008,4.82
3/1/2007,24.8,35.1,1.59,10.06833333,21.04704,5.24
4/1/2007,24.1,33.4,1.81,10.26722222,20.29536,5.07
5/1/2007,23.5,32.2,1.38,10.31527778,20.42496,4.72
6/1/2007,22.1,30.2,1.7,9.566944444,15.05088,3.83
7/1/2007,22.6,29.2,1.72,8.566944444,11.81088,3.22
8/1/2007,22.1,28.6,1.73,7.705555556,9.9792,2.93
9/1/2007,22.4,29.6,1.37,8.482222222,11.88864,3.17
10/1/2007,22.5,30.9,1.09,9.180833333,14.89536,3.59
11/1/2007,22.8,32.2,1.11,9.484166667,16.45056,3.89
12/1/2007,23.2,33.2,1.08,10.035,16.92576,3.96
1/1/2008,21.5,32.1,1.34,10.25944444,18.47232,4.23
2/1/2008,23.6,34.4,1.51,10.20333333,20.58048,4.96
3/1/2008,23.8,35.1,1.55,10.09222222,19.50048,5
4/1/2008,23.8,33.8,1.49,10.11972222,20.304,4.96
5/1/2008,23.1,32.1,1.22,9.973888889,18.62784,4.36
6/1/2008,22.3,30.5,1.3,9.062777778,15.51744,3.74
7/1/2008,22.5,29,1.44,9.337222222,13.15008,3.28
8/1/2008,22,28.2,1.54,8.309166667,12.04416,3.11
9/1/2008,22.5,29.7,1.42,8.806111111,12.7008,3.31
10/1/2008,22.9,30.9,1.12,9.296944444,16.4592,3.83
11/1/2008,22.9,33.4,1.07,9.895555556,18.38592,4.26
12/1/2008,23.1,34,1.05,9.892777778,16.13088,3.9
1/1/2009,22.3,34,1.36,9.996388889,17.42688,4.3
2/1/2009,24.3,34.7,1.65,9.668611111,16.58016,4.47
3/1/2009,24.6,34.8,1.49,10.01666667,19.06848,4.84
4/1/2009,23.3,32.9,1.58,9.832777778,19.06848,4.72
5/1/2009,23.5,32.5,1.34,10.17194444,19.76832,4.64
6/1/2009,22.4,30.9,1.29,9.353611111,15.6816,3.8
7/1/2009,22.8,29,1.5,8.473055556,12.82176,3.24
