Station name:,,,,,,
Sepeteri,,,,,Latitude (decimals):,8.8
,,,,,,
Elevation (m): 391,,,,Wind speed height (m): 2,,
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
12/1/2011,17.9,33.5,2.05,10.48916667,18.178096,4.97
1/1/2012,18.7,34.1,2.19,10.23888889,17.762992,5.08
2/1/2012,20.8,35.3,1.89,9.590833333,17.088448,4.92
3/1/2012,22,35.9,1.98,10.0625,20.703312,5.63
4/1/2012,22.7,33.6,2.09,9.965277778,18.50672,5.04
5/1/2012,21.7,31.6,1.74,10.16805556,19.189912,4.69
6/1/2012,20.8,30.3,1.68,9.733611111,17.131688,4.2
7/1/2012,20.6,28,1.61,8.956388889,12.868224,3.29
8/1/2012,20.4,27.4,1.54,8.511666667,12.479064,3.17
9/1/2012,20.3,29.1,1.49,7.927777778,11.4586,3.21
