Station name:,,,,,,
Igbojaiye,,,,Latitude (decimals):,3.3,
,,,,,,
Elevation (m):,,256,Wind speed height (m):,,2,
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
9/1/2001,20.2,28.5,1.48,8.676111111,13.14144,3.36
10/1/2001,20.7,31.2,1.4,9.639722222,17.89344,4.28
11/1/2001,20.8,33.6,1.37,9.782777778,17.97984,4.51
12/1/2001,20.4,34.9,1.57,10.04555556,16.77024,4.62
1/1/2002,20.2,32.4,2.24,10.29611111,18.67104,4.96
2/1/2002,21.3,35.7,1.96,9.965277778,19.21536,5.4
3/1/2002,22.6,35.8,1.98,9.791111111,19.85472,5.52
4/1/2002,22.4,33.4,2,9.906388889,18.82656,5.02
5/1/2002,22,33.1,1.63,10.19611111,21.27168,5.08
6/1/2002,20.7,31,1.66,8.835277778,15.3792,3.99
7/1/2002,20.9,29.1,1.46,8.619444444,12.43296,3.24
8/1/2002,20.6,28.1,1.64,8.53,12.17376,3.2
9/1/2002,20.4,29,1.5,9.166111111,14.54112,3.61
10/1/2002,20.5,30.2,1.41,9.203333333,15.32736,3.82
11/1/2002,20.8,33.2,1.23,9.768055556,17.34048,4.27
12/1/2002,19.8,34.1,1.66,9.868611111,16.75296,4.6
1/1/2003,20.3,34.5,1.9,9.813333333,17.03808,4.86
2/1/2003,22.2,36.2,1.81,9.6725,17.91072,5.13
3/1/2003,23.3,36,1.93,9.868333333,20.1312,5.52
4/1/2003,22.2,33.1,2.12,9.561666667,17.99712,4.93
5/1/2003,21.8,33.4,1.8,9.945,19.51776,4.98
6/1/2003,20.7,30.2,1.51,9.033888889,14.35968,3.67
7/1/2003,20.5,28.6,1.66,8.802777778,13.32288,3.41
8/1/2003,20.4,28.1,1.72,7.956388889,11.26656,3.13
9/1/2003,20.7,29.1,1.42,8.567777778,12.16512,3.25
10/1/2003,21.4,31.4,1.46,9.313055556,15.15456,3.93
11/1/2003,20.4,33.3,1.3,9.667777778,16.20864,4.18
12/1/2003,19.9,33.8,1.67,10.17027778,17.0208,4.6
1/1/2004,20.6,33.9,1.96,9.957777778,16.77024,4.76
2/1/2004,21.9,35.2,1.87,9.864166667,18.65376,5.14
3/1/2004,23.3,34.8,1.99,9.873333333,20.27808,5.39
4/1/2004,22.5,33.1,2.05,9.516944444,16.21728,4.61
5/1/2004,21.8,31.3,1.76,9.1975,15.86304,4.14
