Station name:,,,,,,
"Igbogila, Ogun state",,,,Latitude (decimals):,7.5,
,,,,,,
Elevation (m):,,196,Wind speed height (m):,,2,
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
9/1/1997,21.2,30.5,1.34,9.385833333,14.4,3.66
10/1/1997,20.9,31.6,1.03,9.617222222,16.8,3.92
11/1/1997,21.8,33,0.98,9.935,17.8,4.07
12/1/1997,21.7,33.5,1.13,10.27694444,17.4,4.09
1/1/1998,20.8,34.7,1.47,10.2,18.6,4.66
2/1/1998,23,36.5,1.74,10.10472222,19.1,5.2
3/1/1998,24.1,36.8,1.69,10.23694444,20.6,5.49
4/1/1998,24.3,34.7,1.85,10.25777778,19.5,5.15
5/1/1998,23.4,33.1,1.32,10.36694444,18.7,4.52
6/1/1998,21.4,31.6,1.14,10.08972222,16.6,3.95
7/1/1998,21.8,28.9,1.53,8.773611111,12.4,3.23
8/1/1998,20.6,28.5,1.73,7.665,12.2,3.32
9/1/1998,21.1,29.7,1.38,8.652222222,12.6,3.34
10/1/1998,21.2,31.3,1.14,9.302222222,15.8,3.81
11/1/1998,21.9,33.7,0.96,10.235,18.2,4.19
12/1/1998,21.5,34,1.09,10.1825,16.8,4.03
1/1/1999,22,34.3,1.2,9.706111111,15.8,3.99
2/1/1999,22.5,34.6,1.73,9.857777778,16.8,4.62
3/1/1999,22.7,34.5,1.62,10.03333333,17.6,4.7
4/1/1999,22.4,33.3,1.63,10.20777778,19.2,4.84
5/1/1999,22.4,32.9,1.28,10.18083333,19.2,4.57
6/1/1999,21.4,31.4,1.26,9.724166667,15.4,3.82
7/1/1999,21,29.2,1.65,8.957222222,11.9,3.29
8/1/1999,20.5,28.2,1.79,8.746666667,12.3,3.33
9/1/1999,20.7,28.8,1.43,8.963888889,12.1,3.22
10/1/1999,20.6,30.3,1.09,8.492222222,13.3,3.34
11/1/1999,21.5,33.3,0.88,9.805277778,17.1,3.93
12/1/1999,21.1,34.4,1.09,10.35611111,17.6,4.18
1/1/2000,22.5,35.3,1.17,9.821111111,15.9,4.07
2/1/2000,22.2,34.9,1.96,10.24083333,20,5.27
3/1/2000,23.1,35.8,1.78,10.49472222,21.2,5.53
