Station name:,,,,,,
"Hyderabad, India",,,,Latitude (decimals):,7.3,
,,,,,,
Elevation (m):,,148,Wind speed height (m):,,2,
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
5/1/1997,21.5,31,1.42,10.14388889,18.38592,4.32
6/1/1997,21.2,29.3,1.5,8.675,13.12416,3.4
7/1/1997,20.8,27.9,1.86,8.638611111,12.3552,3.29
8/1/1997,20.6,27.9,1.63,8.249166667,12.5712,3.25
9/1/1997,21.4,29.8,1.27,9.428888889,13.78944,3.45
10/1/1997,21.2,30.6,0.92,9.533333333,15.984,3.64
11/1/1997,22.1,31.9,0.98,9.837777778,17.38368,3.92
12/1/1997,21.5,32.6,1.14,10.27222222,17.47872,4.03
1/1/1998,20.6,33.3,1.44,10.24333333,18.88704,4.51
2/1/1998,23,35.4,1.54,9.993333333,19.63872,4.99
3/1/1998,24.2,35.8,1.44,10.16388889,21.34944,5.3
4/1/1998,24.4,33.9,1.82,10.24888889,19.67328,5.04
5/1/1998,23.3,32.2,1.27,10.28472222,18.576,4.38
6/1/1998,21.6,30.7,1.12,10.10166667,16.23456,3.79
7/1/1998,21.8,28,1.67,8.562777778,11.69856,3.08
8/1/1998,20.7,27.9,1.68,7.409722222,11.86272,3.17
9/1/1998,21.3,29,1.39,8.681944444,12.26016,3.21
10/1/1998,21.5,30.3,1.12,9.193888889,15.18912,3.61
11/1/1998,22.2,32.7,0.96,10.0775,17.76384,4.04
12/1/1998,21.4,33.2,1.07,10.08111111,16.85664,3.95
1/1/1999,21.9,32.9,1.21,9.705277778,15.82848,3.87
2/1/1999,22.5,33.4,1.54,9.866944444,17.03808,4.36
3/1/1999,23,33.4,1.47,10.075,18.22176,4.56
4/1/1999,22.4,32.5,1.58,10.25333333,19.44,4.74
5/1/1999,22.3,32,1.21,10.19305556,18.93024,4.39
6/1/1999,21.6,30.4,1.21,9.547777778,14.89536,3.61
7/1/1999,20.9,28.4,1.72,9.111111111,11.33568,3.16
8/1/1999,20.6,27.7,1.72,8.778055556,12.08736,3.2
9/1/1999,20.9,28.1,1.49,9.161666667,11.87136,3.12
10/1/1999,21.1,29.3,1.12,8.368888889,12.89952,3.19
11/1/1999,21.8,32.2,0.87,9.799722222,16.78752,3.79
12/1/1999,20.9,33.6,1.1,10.33444444,17.73792,4.14
1/1/2000,22.5,34,1.17,9.855277778,15.97536,3.96
2/1/2000,22.3,33.7,1.71,10.1675,20.49408,5
3/1/2000,23.2,34.7,1.54,10.28805556,21.80736,5.3
4/1/2000,22.9,33.4,1.69,10.20666667,19.47456,4.92
5/1/2000,22.8,32.4,1.29,10.35361111,19.44864,4.55
6/1/2000,21.3,30,1.43,8.736944444,13.608,3.51
7/1/2000,21.2,28.3,1.63,8.613888889,12.37248,3.23
8/1/2000,21,27.1,1.54,8.684444444,11.448,2.95
9/1/2000,20.9,29.4,1.5,8.665833333,11.42208,3.21
